"Authors","Article Title","Source Title","Publication Year","DOI","Document Type","Institution Address","Institution","Country"
"Gallucci, Mauro Nicolas; Cisneros, Ana Belen; Loto, Alba M.; Maillard, Anike Ferreyra; Hollmann, Axel; Borsarelli, Claudio Dario","Antibacterial activity modulation of silver nanoparticles prepared by green synthesis with aqueous extracts from different organs of native Argentinean trees","BIOCHEMICAL ENGINEERING JOURNAL","2025.0","10.1016/j.bej.2024.109612","Article","Univ Nacl Santiago del Estero UNSE, Inst Bionanotecnol NOA INBIONATEC, CONICET, RN 9,Km 1125,G4206XCP, Santiago Del Estero, ArgentinaUniv Nacl Santiago del Estero, Lab Compuestos Bioact, Ctr Invest Biofis Aplicada & Alimentos CIBAAL, CONICET, RN 9,Km 1125, RA-4206 Santiago Del Estero, ArgentinaUNSE, Fac Agron & Agroind, Inst Ciencias Quim ICQ, Av Belgrano S, RA-1912 Santiago Del Estero, Argentina","UNSE","Argentina"
"Aldana-Mejia, Jennyfer Andrea; Ribeiro, Victor Pena; Meepagala, Kumudini M.; Bastos, Jairo Kenupp; Ross, Samir A.","Bioactive metabolites of Brazilian Red Propolis: Cytotoxic, antimalarial, and antimicrobial properties","FITOTERAPIA","2025.0","10.1016/j.fitote.2024.106351","Article","Univ Mississippi, Natl Ctr Nat Prod Res, Sch Pharm, University, MS 38655 USAUSDA, ARS, Nat Prod Utilizat Res Unit, University, MS 38677 USAUniv Sao Paulo, Sch Pharmaceut Sci Ribeirao Preto, Ave Cafe, BR-14040930 Ribeirao Preto, BrazilUniv Mississippi, Sch Pharm, Dept BioMol Sci, Div Pharmacognosy, Oxford, MS 38677 USA","Univ Mississippi","Brazil"
"Leon-Cortes, Dayana; Arce-Villalobos, Kelvin; Bogantes-Ledezma, Diego; Irias-Mata, Andrea; Chaves-Barrantes, Nestor; Vinas, Maria","Anti-aflatoxin potential of phenolic compounds from common beans (Phaseolus vulgaris L.)","FOOD CHEMISTRY","2025.0","10.1016/j.foodchem.2024.142597","Article","Univ Costa Rica, Ctr Invest Granos & Semillas, San Jose 11501, Costa RicaUniv Costa Rica, Estn Expt Agr Fabio Baudrit Moreno, Garita 20113, Alajuela, Costa Rica","Univ Costa Rica","Other"
"Vardeman, Ella T.; Cheng, Hai-Ping; Vandebroek, Ina; Kennelly, Edward J.","Caribbean medicinal plant Argemone mexicana L.: Metabolomic analysis and in vitro effect on the vaginal microbiota","JOURNAL OF ETHNOPHARMACOLOGY","2025.0","10.1016/j.jep.2024.118830","Article","Ctr Plants People & Culture, New York Bot Garden, 2900 Southern Blvd, Bronx, NY 10458 USACUNY, Grad Ctr, Ph D Program Biol, 365 5th Ave, New York, NY 10016 USACUNY, Lehman Coll, Dept Biol Sci, 250 Bedford Pk Blvd, Bronx, NY 10468 USAUniv West Indies Mona, Caribbean Ctr Res Biosci CCRIB, Kingston, Jamaica","Ctr Plants People & Culture","USA"
"da Silva, Eliane Kelle Alves; Rial, Rafael Cardoso","Fatty acid profile, nutritional and therapeutic properties of vegetable oils from the Brazilian Cerrado","JOURNAL OF FOOD COMPOSITION AND ANALYSIS","2025.0","10.1016/j.jfca.2024.106819","Article","Fed Inst Mato Grosso do Sul, BR-79750000 Nova Andradina, MS, Brazil","Fed Inst Mato Grosso do Sul","Brazil"
"Jimenez, Luis Ignacio; Uriburu, Florencia Maria Correa; Chamas, Jose Javier Martinez; Suarez, Guillermo Martin; Zampini, Iris Catiana; Simirgiotis, Mario J.; Isla, Maria Ines","Syntrichia laevipila Brid., a Bryophyta from Northwest Argentina as a Source of Antioxidants and Antimicrobials","PLANTS-BASEL","2025.0","10.3390/plants14020253","Article","Inst Bioprospecc & Fisiol Vegetal INBIOFIV CONICET, T4000CBG, San Miguel De Tucuman, ArgentinaUniv Nacl Tucuman UNT, Fac Ciencias Nat, T4000JFE, San Miguel De Tucuman, ArgentinaUniv Nacl Tucuman UNT, IML, T4000JFE, San Miguel De Tucuman, ArgentinaFdn Miguel Lillo 251, Lab Briol, Inst Criptogam, T4000JFD, San Miguel De Tucuman, ArgentinaConsejo Nacl Invest Cient & Tecn, Fdn Miguel Lillo, Unidad Ejecutora Lillo, Miguel Lillo 251,T4000JFD, San Miguel De Tucuman, ArgentinaUniv Austral Chile, Fac Ciencias, Inst Farm, Campus Isla Teja, Valdivia 5090000, Chile","INBIOFIV CONICET","Argentina"
"Ramakrishnan, Gnanasekaran; Gujjula, Koteswara Reddy; Mekala, Janaki Ramaiah; Thanay, A. Sai Sree; Praveen, T.; Priyanka, H.; Govind, Geya; Bhavana, J. Sesha; Shaik, Baji; Varakala, Nikhil Reddy","Exploring Bioactive Compounds of Rauvolfia tetraphylla L. (RT) for 3CLprotease of SARS-CoV2: GC-MS Analysis and In-Silico Studies","CELL BIOCHEMISTRY AND BIOPHYSICS","2024.0","10.1007/s12013-024-01421-7","Article","Koneru Lakshmaiah Educ Fdn, Dept Biotechnol, Vaddeswram 522502, Andhra Pradesh, IndiaUniv Maryland, Cell Therapy Lab, Med Ctr, 22 South Greene St, Baltimore, MD 21201 USA","Koneru Lakshmaiah Educ Fdn","USA"
"Tenorio, Jonh Aldson Bezerra; do Monte, Dulciana Santos; Aguiar, Jaciana dos Santos; da Silva, Teresinha Goncalves; Ramos, Clecio Souza","Chemical and Biological Aspects of Solanum paniculatum Roots","REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY","2024.0","10.1007/s43450-024-00524-9","Article","Univ Fed Rural Pernambuco, Dept Quim, BR-52171900 Recife, PE, BrazilUniv Fed Pernambuco, Dept Antibiot, Recife, PE, Brazil","Univ Fed Rural Pernambuco","Brazil"
"Olas, Beata","An Overview of the Versatility of the Parts of the Globe Artichoke (Cynara scolymus L.), Its By-Products and Dietary Supplements","NUTRIENTS","2024.0","10.3390/nu16050599","Review","Univ Lodz, Fac Biol & Environm Protect, Dept Gen Biochem, Pomorska 141 143, PL-90236 Lodz, Poland",NA,"Other"
"Nunez, Karen Vanessa Munive; Abreu, Anderson Clayton da Silva; de Almeida, Jaqueline Milagres; Goncalves, Juliano Leonel; Bonsaglia, erika Carolina Romao; dos Santos, Marcos Veiga; Silva, Nathalia Cristina Cirone","Antimicrobial Activity of Selected Essential Oils against Staphylococcus aureus from Bovine Mastitis","DAIRY","2024.0","10.3390/dairy5010005","Article","Univ Campinas UNICAMP, Sch Food Engn, Dept Food Sci & Nutr, BR-13083862 Campinas, BrazilMichigan State Univ, Coll Vet Med, Dept Large Anim Clin Sci, E Lansing, MI 48824 USAUniv Sao Paulo, Sch Vet Med & Anim Sci, Dept Anim Nutr & Prod, BR-13635900 Pirassununga, Brazil",NA,"Brazil"
